name,parent,type,size
appdirs.cpython-311.pyc,__pycache__,file,72
__init__.cpython-311.pyc,__pycache__,file,73
__pycache__,_vendor,dir,29638
__init__.cpython-311.pyc,__pycache__,file,73
__pycache__,pkg_resources,dir,159567
archive_util.py,setuptools,file,64
build_meta.py,setuptools,file,62
cli-32.exe,setuptools,file,59
cli-64.exe,setuptools,file,59
cli-arm64.exe,setuptools,file,62
cli.exe,setuptools,file,56
depends.py,setuptools,file,59
dep_util.py,setuptools,file,60
discovery.py,setuptools,file,61
dist.py,setuptools,file,56
errors.py,setuptools,file,58
extension.py,setuptools,file,61
glob.py,setuptools,file,56
gui-32.exe,setuptools,file,59
gui-64.exe,setuptools,file,59
gui-arm64.exe,setuptools,file,62
gui.exe,setuptools,file,56
installer.py,setuptools,file,61
launch.py,setuptools,file,58
logging.py,setuptools,file,59
monkey.py,setuptools,file,58
msvc.py,setuptools,file,56
namespaces.py,setuptools,file,62
package_index.py,setuptools,file,65
py34compat.py,setuptools,file,62
sandbox.py,setuptools,file,59
script (dev).tmpl,setuptools,file,66
script.tmpl,setuptools,file,60
unicode_utils.py,setuptools,file,65
version.py,setuptools,file,59
wheel.py,setuptools,file,57
windows_support.py,setuptools,file,67
_deprecation_warning.py,setuptools,file,72
_entry_points.py,setuptools,file,65
_imp.py,setuptools,file,56
_importlib.py,setuptools,file,62
_itertools.py,setuptools,file,62
_path.py,setuptools,file,57
_reqs.py,setuptools,file,57
__init__.py,setuptools,file,60
setuptools,site-packages,dir,942966
alias.py,command,file,57
bdist_egg.py,command,file,61
bdist_rpm.py,command,file,61
build.py,command,file,57
build_clib.py,command,file,62
build_ext.py,command,file,61
build_py.py,command,file,60
develop.py,command,file,59
dist_info.py,command,file,61
easy_install.py,command,file,64
editable_wheel.py,command,file,66
egg_info.py,command,file,60
install.py,command,file,59
install_egg_info.py,command,file,68
install_lib.py,command,file,63
install_scripts.py,command,file,67
launcher manifest.xml,command,file,70
py36compat.py,command,file,62
register.py,command,file,60
rotate.py,command,file,58
saveopts.py,command,file,60
sdist.py,command,file,57
setopt.py,command,file,58
test.py,command,file,56
upload.py,command,file,58
upload_docs.py,command,file,63
__init__.py,command,file,60
command,setuptools,dir,267898
expand.py,config,file,58
pyprojecttoml.py,config,file,65
setupcfg.py,config,file,60
_apply_pyprojecttoml.py,config,file,72
__init__.py,config,file,60
config,setuptools,dir,75340
error_reporting.py,_validate_pyproject,file,67
extra_validations.py,_validate_pyproject,file,69
fastjsonschema_exceptions.py,_validate_pyproject,file,77
fastjsonschema_validations.py,_validate_pyproject,file,78
formats.py,_validate_pyproject,file,59
__init__.py,_validate_pyproject,file,60
_validate_pyproject,config,dir,293705
__init__.py,extern,file,60
extern,setuptools,dir,2512
archive_util.py,_distutils,file,64
bcppcompiler.py,_distutils,file,64
ccompiler.py,_distutils,file,61
cmd.py,_distutils,file,55
config.py,_distutils,file,58
core.py,_distutils,file,56
cygwinccompiler.py,_distutils,file,67
debug.py,_distutils,file,57
dep_util.py,_distutils,file,60
dir_util.py,_distutils,file,60
dist.py,_distutils,file,56
errors.py,_distutils,file,58
extension.py,_distutils,file,61
fancy_getopt.py,_distutils,file,64
